,calibrate_trial,perturbed,avg_residual,sensor,col_trial
82,L3CX_W2_P1,Perturbed,8.813937101118727,VL53L3CX,W2_P1
83,L3CX_W2_P1,Perturbed,9.108086266874789,VL53L3CX,W2_P1
84,L3CX_W2_P1,Perturbed,5.308525353939651,VL53L3CX,W2_P1
85,L3CX_W2_P1,Perturbed,4.125311725738111,VL53L3CX,W2_P1
86,L3CX_W2_P1,Perturbed,7.722349549267339,VL53L3CX,W2_P1
87,L3CX_W2_P1,Perturbed,4.561210017767608,VL53L3CX,W2_P1
88,L3CX_W2_P1,Perturbed,6.07221762912992,VL53L3CX,W2_P1
89,L3CX_W2_P1,Perturbed,5.158473426045224,VL53L3CX,W2_P1
90,L3CX_W2_P1,Perturbed,4.37439614973301,VL53L3CX,W2_P1
91,L3CX_W2_P1,Perturbed,5.825531120256756,VL53L3CX,W2_P1
92,L3CX_W2_P1,Perturbed,5.3651403894002305,VL53L3CX,W2_P1
93,L3CX_W2_P1,Perturbed,6.485390991548507,VL53L3CX,W2_P1
94,L3CX_W2_P1,Perturbed,8.853172629982113,VL53L3CX,W2_P1
95,L3CX_W2_P1,Perturbed,10.246679296737357,VL53L3CX,W2_P1
96,L3CX_W2_P1,Perturbed,3.9602391530995362,VL53L3CX,W2_P1
97,L3CX_W2_P1,Perturbed,6.584940298749026,VL53L3CX,W2_P1
98,L3CX_W2_P1,Perturbed,5.446644372055406,VL53L3CX,W2_P1
99,L3CX_W2_P1,Perturbed,7.472726290615804,VL53L3CX,W2_P1
100,L3CX_W2_P1,Perturbed,2.042655997036261,VL53L3CX,W2_P1
101,L3CX_W2_P1,Perturbed,3.9829200723433487,VL53L3CX,W2_P1
102,L3CX_R2_P1,Solution,1.805444685133703,VL53L3CX,R2_P1
103,L3CX_R2_P1,Perturbed,7.643197429989445,VL53L3CX,R2_P1
104,L3CX_R2_P1,Perturbed,6.490939036890406,VL53L3CX,R2_P1
105,L3CX_R2_P1,Perturbed,6.147180710847663,VL53L3CX,R2_P1
106,L3CX_R2_P1,Perturbed,6.599917610110308,VL53L3CX,R2_P1
107,L3CX_R2_P1,Perturbed,6.897450545351851,VL53L3CX,R2_P1
108,L3CX_R2_P1,Perturbed,8.042722107472025,VL53L3CX,R2_P1
109,L3CX_R2_P1,Perturbed,9.049988911230729,VL53L3CX,R2_P1
110,L3CX_R2_P1,Perturbed,6.155368786980858,VL53L3CX,R2_P1
111,L3CX_R2_P1,Perturbed,7.8087051572437725,VL53L3CX,R2_P1
112,L3CX_R2_P1,Perturbed,4.759366339229733,VL53L3CX,R2_P1
113,L3CX_R2_P1,Perturbed,2.9946264607472464,VL53L3CX,R2_P1
114,L3CX_R2_P1,Perturbed,2.518728636195315,VL53L3CX,R2_P1
115,L3CX_R2_P1,Perturbed,9.77278741267198,VL53L3CX,R2_P1
116,L3CX_R2_P1,Perturbed,7.764649917101511,VL53L3CX,R2_P1
117,L3CX_R2_P1,Perturbed,7.8534398124528835,VL53L3CX,R2_P1
118,L3CX_R2_P1,Perturbed,4.7734211473678085,VL53L3CX,R2_P1
119,L3CX_R2_P1,Perturbed,1.7058249534599053,VL53L3CX,R2_P1
120,L3CX_R2_P1,Perturbed,2.67436596071294,VL53L3CX,R2_P1
121,L3CX_R2_P1,Perturbed,6.850677154874163,VL53L3CX,R2_P1
122,L3CX_R2_P1,Perturbed,3.1079131316521043,VL53L3CX,R2_P1
123,L3CX_R2_P1,Perturbed,7.886957490452936,VL53L3CX,R2_P1
124,L3CX_R2_P1,Perturbed,8.495308618407764,VL53L3CX,R2_P1
125,L3CX_R2_P1,Perturbed,12.710346027364807,VL53L3CX,R2_P1
126,L3CX_R2_P1,Perturbed,8.272760310169913,VL53L3CX,R2_P1
127,L3CX_R2_P1,Perturbed,8.790517714353857,VL53L3CX,R2_P1
128,L3CX_R2_P1,Perturbed,8.54142506407167,VL53L3CX,R2_P1
129,L3CX_R2_P1,Perturbed,11.71363625154738,VL53L3CX,R2_P1
130,L3CX_R2_P1,Perturbed,10.650741552487746,VL53L3CX,R2_P1
131,L3CX_R2_P1,Perturbed,10.238818445415733,VL53L3CX,R2_P1
132,L3CX_R2_P1,Perturbed,8.4375981641044,VL53L3CX,R2_P1
133,L3CX_R2_P1,Perturbed,6.074428943475765,VL53L3CX,R2_P1
134,L3CX_R2_P1,Perturbed,7.811084183717047,VL53L3CX,R2_P1
135,L3CX_R2_P1,Perturbed,4.789429657050694,VL53L3CX,R2_P1
136,L3CX_R2_P1,Perturbed,4.770868703610361,VL53L3CX,R2_P1
137,L3CX_R2_P1,Perturbed,5.434546537530648,VL53L3CX,R2_P1
138,L3CX_R2_P1,Perturbed,5.998166244466809,VL53L3CX,R2_P1
139,L3CX_R2_P1,Perturbed,4.575342950374362,VL53L3CX,R2_P1
140,L3CX_R2_P1,Perturbed,9.006982103249166,VL53L3CX,R2_P1
141,L3CX_R2_P1,Perturbed,4.910670507191077,VL53L3CX,R2_P1
142,L3CX_R2_P1,Perturbed,4.533060585943805,VL53L3CX,R2_P1
143,L3CX_R2_P1,Perturbed,8.58354553486539,VL53L3CX,R2_P1
144,L3CX_R2_P1,Perturbed,9.54903747222427,VL53L3CX,R2_P1
145,L3CX_R2_P1,Perturbed,3.554822423285137,VL53L3CX,R2_P1
146,L3CX_R2_P1,Perturbed,2.2414946984100106,VL53L3CX,R2_P1
147,L3CX_R2_P1,Perturbed,3.66666733845846,VL53L3CX,R2_P1
148,L3CX_R2_P1,Perturbed,2.522918734016205,VL53L3CX,R2_P1
149,L3CX_R2_P1,Perturbed,10.719617812283827,VL53L3CX,R2_P1
150,L3CX_R2_P1,Perturbed,9.535121734092742,VL53L3CX,R2_P1
151,L3CX_R2_P1,Perturbed,33.552624142225355,VL53L3CX,R2_P1
