,noise,p_error,u_error,a_error,d_error
88,0,0.00015000052591058972,7.3444386094852035e-06,179.99999758516347,1000.0
89,0,0.00016817443079639204,6.502146373618258e-06,4.353408482428142e-06,0.0
90,0,0.0002540371060616433,9.430238149809192e-06,179.99999618180817,1000.0
91,0,0.00014132499061293694,5.7905745997743736e-06,179.99999618180817,999.9999593662515
92,0,0.00018412719781717965,3.1945284701301985e-06,179.99999758516347,1000.0
93,0,0.00018446377258190367,3.6222548091772e-06,179.99999618180817,999.9999699012502
94,0,0.00029671793938950813,8.365239156607497e-06,179.9999958173804,999.9999934840646
95,0,0.0003531582570351204,8.79013768592829e-06,2.4148365394514667e-06,2.219532018443715e-05
96,0,0.00025798071860676057,8.79013768592829e-06,179.99999758516347,1000.0
97,0,0.00034621726624367815,1.5104797728455768e-05,5.263014220319208e-06,0.0
98,0,0.0002826397248976831,1.6643112294063987e-05,1.0173887179578492e-05,1.972635743641149e-05
99,0,0.0002444464384251799,5.263014220319208e-06,179.99999829245272,1000.0
100,5,3.3105379025220056,0.06656804171980267,179.92337133101358,1000.0
101,5,4.07209385189721,0.0925688127157539,179.96571939588836,999.7578843006372
102,5,7.449817405220042,0.08480424319123199,0.14962923427125088,0.7795445127816834
103,5,0.784189174010609,0.10955681573251652,179.8597039189777,1000.0
104,5,1.5687603758915138,0.0008907310425001352,179.98595407585788,999.7785885840706
105,5,5.44427189291169,0.1576533124890321,179.95215597712038,999.5580471152616
106,5,6.788820169127523,0.11310561943988418,179.89845119161475,998.3422927296926
107,5,0.9263554481362415,0.1280072323944797,0.14314032162890333,0.6469228850060063
108,5,2.2510819745813824,0.07991518550192159,0.026322910976206364,0.0
109,5,2.355519608089793,0.0412874091782447,179.94323077215458,999.9999999999982
110,5,2.490809593662655,0.0508181773304025,0.0335068488468662,0.0
111,5,4.136425685240616,0.02438902245087178,179.8963085175269,1000.0
112,5,1.763299638859696,0.021286456352816827,179.9318411636912,1000.0
113,5,4.825546519567081,0.14404734215740098,179.93759818226877,998.9503065469665
114,5,2.7388585168371664,0.11865767942360474,0.059864432953916136,1.4448706910171154
115,5,2.9844990859282614,0.032103235796444474,0.03873773068800747,0.5357300118993749
116,5,7.1756755778326085,0.152552706507001,0.05360251218311617,0.0
117,5,4.055111126763588,0.08761599555800613,179.92117326273546,999.3563607424364
118,5,6.254201867611638,0.03529825579305658,0.128707028030774,0.0
119,5,2.0453106865809985,0.13642709594777358,179.87848931800193,1000.0
120,5,2.1151320409092444,0.04777406363876396,0.047859535172299,0.3032353998079884
121,5,6.069147615579199,0.1789454908574962,0.12405161544295369,0.0
122,5,2.745782241445895,0.08719853989332188,179.98799115413664,999.2110850870871
123,5,4.209074935712061,0.014254917223540577,179.85528043841921,1000.0
124,5,3.9666124595547854,0.11118527883736498,179.96225861877892,1000.0
125,5,1.9515730978216321,0.030233607285037937,179.95867987899777,999.5601489653086
126,5,5.395072933438636,0.0784375549226693,179.9839349041616,998.2405374446266
127,5,4.6993198585773674,0.07758458524452964,0.11074422478175562,1.2721780131423088
128,5,4.24176154537685,0.12599788215409594,0.09434808241550569,0.0
129,5,2.7534369312039826,0.06940065712034386,179.92106462933933,999.6058147995411
130,5,3.9774490179989925,0.08320749500949694,179.9852904627248,999.2029043157829
131,5,1.4490734321540064,0.1400937261565905,0.11569162289932736,0.0
132,5,1.6447017428272477,0.07895374065046684,179.8575319552446,1000.0
133,5,3.2155256572063693,0.09997393975838083,179.95982733556988,999.8381955772668
134,5,1.1276681613272357,0.14317569174585476,0.11497694322158955,0.1746087936691083
135,5,1.024777573643375,0.05133864385515224,179.95382370012345,1000.0
136,5,3.0645050265164655,0.049943510332405634,179.90432272591033,1000.0
